baseline_validation_failure_count,certified_beta_l2,certified_beta_l2_max,component_mean_base_search_ns,component_mean_candidate_delta_distance_ns,component_mean_candidate_raw_distance_ns,component_mean_delta_index_search_ns,component_mean_exact_boundary_rerank_ns,component_mean_exact_truth_generation_ns,component_mean_final_interval_recompute_ns,component_mean_full_index_search_ns,component_mean_group_ordering_ns,component_mean_group_scan_ns,component_mean_lb_calculation_ns,component_mean_merge_ns,component_mean_receipt_ns,component_mean_visibility_ns,contract_violation_count,dataset_hash,delta_exact_neighbor_capture_rate,delta_exact_neighbor_capture_rate_macro,delta_exact_neighbor_count_total,delta_exact_neighbors_captured_total,delta_influence_end_to_end_p50_ms,delta_influence_mean_exact_recall,delta_influence_query_fraction,end_to_end_actual_batch_qps,end_to_end_p50_ms,end_to_end_p95_ms,end_to_end_p99_ms,end_to_end_pooled_request_p99_ms,end_to_end_single_query_capacity_estimate_qps,experiment_id,fallback_count,fallback_rate,fallback_reason_counts,fallback_reason_request_counts,fallback_request_count,fallback_request_rate,group_skip_rate,groups_scanned_total,groups_skipped_total,k,mean_distance_evaluations,mean_exact_boundary_rechecks,mean_exact_id_symmetric_difference,mean_exact_rank_position_difference,mean_exact_recall_at_k,mean_groups_scanned,mean_groups_skipped,mean_raw_pending_scanned,mean_same_c_reference_recall_at_k,mean_vectors_scanned_or_read,mean_visibility_rejections,method,method_kind,micro_actual_batch_qps,micro_p50_ms,micro_p95_ms,micro_p99_ms,micro_pooled_request_p99_ms,micro_single_query_capacity_estimate_qps,min_exact_recall_at_k,min_skipped_lb_l2,non_delta_end_to_end_p50_ms,observed_beta_upper_l2,observed_beta_upper_l2_max,p99_sample_warning,paired_speedup_vs_delta_flat,performance_eligible,query_rows,repetitions_observed,requested_beta_l2,requested_beta_l2_max,requested_beta_l2_min,run_complete,run_id,split_id,tau_returned_l2,truth_cache_hit_count,truth_generation_wall_ms,unique_test_queries
0,"{'count': 8, 'min': 0.0, 'p50': 0.0, 'p95': 0.0, 'p99': 0.0, 'max': 0.0, 'mean': 0.0}",0.0,59437.875,173451.125,,,,,,,0.0,0.0,0.0,1138263.25,210238.875,1311.125,0,2818597448088286a32b9b95b54ca7490acc072b1c90f8aae854e5d264652975,1.0,1.0,7.0,7.0,1.9765225,1.0,0.5,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,,2.03743388,,synthetic-clustered,0,0.0,{},{},0,0.0,0.0,32.0,0.0,5,40.0,5.0,0.0,0.0,1.0,4.0,0.0,2.0,1.0,24.0,0.0,certified_full_delta_reference,certified_full,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,,1.6698338899999998,,1.0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",1.97446,"{'count': 8, 'min': 0.0, 'p50': 0.0, 'p95': 0.0, 'p99': 0.0, 'max': 0.0, 'mean': 0.0}",0.0,fewer_than_1000_unique_test_queries,"{'paired_queries': 0, 'median': None, 'bootstrap_95pct_lower': None, 'bootstrap_95pct_upper': None, 'bootstrap_resamples': 0, 'seed': None, 'reason': 'truth_generation_is_not_a_performance_method'}",False,8,1,"{'count': 8, 'min': 0.0, 'p50': 0.0, 'p95': 0.0, 'p99': 0.0, 'max': 0.0, 'mean': 0.0}",0.0,0.0,True,offline-smoke-20260905T062705.177285Z-43d3397eca,aa18c94a51998944a2d6ac6eb04be025ba4209c5911044bada3e93f4055b815d,"{'count': 8, 'min': 2.917486375108957, 'p50': 3.112244821529495, 'p95': 3.413959324765648, 'p99': 3.463295852629357, 'max': 3.475629984595284, 'mean': 3.135420435288103}",0,"{'count': 8, 'min': 1.94361, 'p50': 1.9765225000000002, 'p95': 2.0318294000000003, 'p99': 2.03743388, 'max': 2.038835, 'mean': 1.9829725}",8
0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,,,22658.75,,,,,,,,1297893.625,,,0,2818597448088286a32b9b95b54ca7490acc072b1c90f8aae854e5d264652975,1.0,1.0,7.0,7.0,1.6793235,1.0,0.5,"{'count': 1, 'min': 591.9772870154518, 'p50': 591.9772870154518, 'p95': 591.9772870154518, 'p99': 591.9772870154518, 'max': 591.9772870154518, 'mean': 591.9772870154518}",1.671649,1.77881755,1.81025791,1.81025791,591.3307803119669,synthetic-clustered,0,0.0,{},{},0,0.0,,0,0,5,,,0.0,0.0,1.0,,,,1.0,24.0,,delta_flat_full_scan,delta_flat,"{'count': 1, 'min': 738.9781410265884, 'p50': 738.9781410265884, 'p95': 738.9781410265884, 'p99': 738.9781410265884, 'max': 738.9781410265884, 'mean': 738.9781410265884}",1.354029,1.4052061999999998,1.41860364,1.41860364,736.6201693600262,1.0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",1.666954,"{'count': 8, 'min': 0.0, 'p50': 0.0, 'p95': 0.0, 'p99': 0.0, 'max': 0.0, 'mean': 0.0}",0.0,fewer_than_1000_unique_test_queries,"{'paired_queries': 8, 'median': 1.0, 'bootstrap_95pct_lower': 1.0, 'bootstrap_95pct_upper': 1.0, 'bootstrap_resamples': 2000, 'seed': 7577495041894540985, 'ratio_definition': 'delta_flat_E2E_query_median / method_E2E_query_median'}",True,8,1,"{'count': 8, 'min': 0.0, 'p50': 0.0, 'p95': 0.0, 'p99': 0.0, 'max': 0.0, 'mean': 0.0}",0.0,0.0,True,offline-smoke-20260905T062705.177285Z-43d3397eca,aa18c94a51998944a2d6ac6eb04be025ba4209c5911044bada3e93f4055b815d,"{'count': 8, 'min': 2.917486375108957, 'p50': 3.112244821529495, 'p95': 3.413959324765648, 'p99': 3.463295852629357, 'max': 3.475629984595284, 'mean': 3.135420435288103}",0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",8
0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,,,22901.75,,,,,,,,1292411.125,,,0,2818597448088286a32b9b95b54ca7490acc072b1c90f8aae854e5d264652975,1.0,1.0,7.0,7.0,1.682924,1.0,0.5,"{'count': 1, 'min': 615.6282147335838, 'p50': 615.6282147335838, 'p95': 615.6282147335838, 'p99': 615.6282147335838, 'max': 615.6282147335838, 'mean': 615.6282147335838}",1.682924,1.7270233000000001,1.72769586,1.72769586,593.2954059356832,synthetic-clustered,0,0.0,{},{},0,0.0,,0,0,5,,,0.0,0.0,1.0,,,,1.0,,,delta_hnsw_ef24,delta_hnsw,"{'count': 1, 'min': 738.4687186496952, 'p50': 738.4687186496952, 'p95': 738.4687186496952, 'p99': 738.4687186496952, 'max': 738.4687186496952, 'mean': 738.4687186496952}",1.347422,1.3814853500000002,1.38487867,1.38487867,739.6712993204732,1.0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",1.686575,"{'count': 8, 'min': 0.0, 'p50': 0.0, 'p95': 0.0, 'p99': 0.0, 'max': 0.0, 'mean': 0.0}",0.0,fewer_than_1000_unique_test_queries,"{'paired_queries': 8, 'median': 0.9978604314200947, 'bootstrap_95pct_lower': 0.9862386251995029, 'bootstrap_95pct_upper': 1.0137483487874008, 'bootstrap_resamples': 2000, 'seed': 9121648870627709420, 'ratio_definition': 'delta_flat_E2E_query_median / method_E2E_query_median'}",True,8,1,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,True,offline-smoke-20260905T062705.177285Z-43d3397eca,aa18c94a51998944a2d6ac6eb04be025ba4209c5911044bada3e93f4055b815d,"{'count': 8, 'min': 2.917486375108957, 'p50': 3.112244821529495, 'p95': 3.413959324765648, 'p99': 3.463295852629357, 'max': 3.475629984595284, 'mean': 3.135420435288103}",0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",8
0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,,,22011.75,,,,,,,,1303837.375,,,0,2818597448088286a32b9b95b54ca7490acc072b1c90f8aae854e5d264652975,1.0,1.0,7.0,7.0,1.6943735,1.0,0.5,"{'count': 1, 'min': 612.7814256145393, 'p50': 612.7814256145393, 'p95': 612.7814256145393, 'p99': 612.7814256145393, 'max': 612.7814256145393, 'mean': 612.7814256145393}",1.679894,1.74445355,1.74488671,1.74488671,590.1756266761449,synthetic-clustered,0,0.0,{},{},0,0.0,,0,0,5,,,0.0,0.0,1.0,,,,1.0,,,delta_hnsw_ef8,delta_hnsw,"{'count': 1, 'min': 743.1544789641764, 'p50': 743.1544789641764, 'p95': 743.1544789641764, 'p99': 743.1544789641764, 'max': 743.1544789641764, 'mean': 743.1544789641764}",1.3588945,1.37853355,1.38062991,1.38062991,734.8285011317278,1.0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",1.679894,"{'count': 8, 'min': 0.0, 'p50': 0.0, 'p95': 0.0, 'p99': 0.0, 'max': 0.0, 'mean': 0.0}",0.0,fewer_than_1000_unique_test_queries,"{'paired_queries': 8, 'median': 0.9931992351182704, 'bootstrap_95pct_lower': 0.9786695727046554, 'bootstrap_95pct_upper': 1.0144987272937638, 'bootstrap_resamples': 2000, 'seed': 6553557994807132046, 'ratio_definition': 'delta_flat_E2E_query_median / method_E2E_query_median'}",True,8,1,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,True,offline-smoke-20260905T062705.177285Z-43d3397eca,aa18c94a51998944a2d6ac6eb04be025ba4209c5911044bada3e93f4055b815d,"{'count': 8, 'min': 2.917486375108957, 'p50': 3.112244821529495, 'p95': 3.413959324765648, 'p99': 3.463295852629357, 'max': 3.475629984595284, 'mean': 3.135420435288103}",0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",8
0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,,,,,1246754.25,,,,,,,,,0,2818597448088286a32b9b95b54ca7490acc072b1c90f8aae854e5d264652975,1.0,1.0,7.0,7.0,1.2935575,1.0,0.5,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,,1.30147032,,synthetic-clustered,0,0.0,{},{},0,0.0,,0,0,5,,,0.0,0.0,1.0,,,,1.0,120.0,,full_base_delta_exact_flat,full_exact_truth,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,,,,1.0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",1.275129,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,fewer_than_1000_unique_test_queries,"{'paired_queries': 0, 'median': None, 'bootstrap_95pct_lower': None, 'bootstrap_95pct_upper': None, 'bootstrap_resamples': 0, 'seed': None, 'reason': 'truth_generation_is_not_a_performance_method'}",False,8,1,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,True,offline-smoke-20260905T062705.177285Z-43d3397eca,aa18c94a51998944a2d6ac6eb04be025ba4209c5911044bada3e93f4055b815d,"{'count': 8, 'min': 2.917486375108957, 'p50': 3.112244821529495, 'p95': 3.413959324765648, 'p99': 3.463295852629357, 'max': 3.475629984595284, 'mean': 3.135420435288103}",0,"{'count': 8, 'min': 1.25845, 'p50': 1.2794965, 'p95': 1.3000635999999999, 'p99': 1.30147032, 'max': 1.301822, 'mean': 1.281334}",8
0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,,,,1250125.875,,,17048.75,,,,,,,0,2818597448088286a32b9b95b54ca7490acc072b1c90f8aae854e5d264652975,1.0,1.0,7.0,7.0,1.297624,1.0,0.5,"{'count': 1, 'min': 773.9219267560288, 'p50': 773.9219267560288, 'p95': 773.9219267560288, 'p99': 773.9219267560288, 'max': 773.9219267560288, 'mean': 773.9219267560288}",1.299863,1.3569092,1.3714490400000001,1.3714490400000001,764.8767085672501,synthetic-clustered,0,0.0,{},{},0,0.0,,0,0,5,,,0.0,0.0,1.0,,,,1.0,120.0,,full_base_delta_flat_scan_performance,full_flat_performance,"{'count': 1, 'min': 773.9219267560288, 'p50': 773.9219267560288, 'p95': 773.9219267560288, 'p99': 773.9219267560288, 'max': 773.9219267560288, 'mean': 773.9219267560288}",,,,,,1.0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",1.312445,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,fewer_than_1000_unique_test_queries,"{'paired_queries': 8, 'median': 1.2866661562071364, 'bootstrap_95pct_lower': 1.258915048565702, 'bootstrap_95pct_upper': 1.3090079450711134, 'bootstrap_resamples': 2000, 'seed': 8510990640055449745, 'ratio_definition': 'delta_flat_E2E_query_median / method_E2E_query_median'}",True,8,1,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,True,offline-smoke-20260905T062705.177285Z-43d3397eca,aa18c94a51998944a2d6ac6eb04be025ba4209c5911044bada3e93f4055b815d,"{'count': 8, 'min': 2.917486375108957, 'p50': 3.112244821529495, 'p95': 3.413959324765648, 'p99': 3.463295852629357, 'max': 3.475629984595284, 'mean': 3.135420435288103}",0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",8
0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,,,,,,,18972.125,,,,,,,0,2818597448088286a32b9b95b54ca7490acc072b1c90f8aae854e5d264652975,1.0,1.0,7.0,7.0,0.0677195,1.0,0.5,"{'count': 1, 'min': 14875.529011000453, 'p50': 14875.529011000453, 'p95': 14875.529011000453, 'p99': 14875.529011000453, 'max': 14875.529011000453, 'mean': 14875.529011000453}",0.06993,0.0742746,0.07514931999999999,0.07514931999999999,14933.675812298628,synthetic-clustered,0,0.0,{},{},0,0.0,,0,0,5,,,0.0,0.0,1.0,,,,1.0,,,full_base_delta_hnsw_ef24,full_hnsw,"{'count': 1, 'min': 14875.529011000453, 'p50': 14875.529011000453, 'p95': 14875.529011000453, 'p99': 14875.529011000453, 'max': 14875.529011000453, 'mean': 14875.529011000453}",,,,,,1.0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",0.0714225,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,fewer_than_1000_unique_test_queries,"{'paired_queries': 8, 'median': 24.621922780700753, 'bootstrap_95pct_lower': 23.09073417861691, 'bootstrap_95pct_upper': 28.412680074139875, 'bootstrap_resamples': 2000, 'seed': 17043834912727367198, 'ratio_definition': 'delta_flat_E2E_query_median / method_E2E_query_median'}",True,8,1,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,True,offline-smoke-20260905T062705.177285Z-43d3397eca,aa18c94a51998944a2d6ac6eb04be025ba4209c5911044bada3e93f4055b815d,"{'count': 8, 'min': 2.9174863117750065, 'p50': 3.1122447943562213, 'p95': 3.413959315581199, 'p99': 3.463295844875325, 'max': 3.475629977198856, 'mean': 3.1354204433766832}",0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",8
0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,,,,,,,16819.75,,,,,,,0,2818597448088286a32b9b95b54ca7490acc072b1c90f8aae854e5d264652975,1.0,1.0,7.0,7.0,0.0681195,1.0,0.5,"{'count': 1, 'min': 14652.551375508261, 'p50': 14652.551375508261, 'p95': 14652.551375508261, 'p99': 14652.551375508261, 'max': 14652.551375508261, 'mean': 14652.551375508261}",0.0664265,0.0719852,0.07268184,0.07268184,15039.007425509917,synthetic-clustered,0,0.0,{},{},0,0.0,,0,0,5,,,0.0,0.0,1.0,,,,1.0,,,full_base_delta_hnsw_ef8,full_hnsw,"{'count': 1, 'min': 14652.551375508261, 'p50': 14652.551375508261, 'p95': 14652.551375508261, 'p99': 14652.551375508261, 'max': 14652.551375508261, 'mean': 14652.551375508261}",,,,,,1.0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",0.065377,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,fewer_than_1000_unique_test_queries,"{'paired_queries': 8, 'median': 25.633118019311766, 'bootstrap_95pct_lower': 24.24157287403365, 'bootstrap_95pct_upper': 26.906537208435317, 'bootstrap_resamples': 2000, 'seed': 790616742031628691, 'ratio_definition': 'delta_flat_E2E_query_median / method_E2E_query_median'}",True,8,1,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",,,True,offline-smoke-20260905T062705.177285Z-43d3397eca,aa18c94a51998944a2d6ac6eb04be025ba4209c5911044bada3e93f4055b815d,"{'count': 8, 'min': 2.9174863117750065, 'p50': 3.1122447943562213, 'p95': 3.413959315581199, 'p99': 3.463295844875325, 'max': 3.475629977198856, 'mean': 3.1354204433766832}",0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",8
0,"{'count': 8, 'min': 0.0, 'p50': 0.0, 'p95': 0.0, 'p99': 0.0, 'max': 0.0, 'mean': 0.0}",0.0,59437.875,,139057.75,,,,0.0,,12022.875,147553.75,366863.0,1169636.625,228621.875,10771.625,0,2818597448088286a32b9b95b54ca7490acc072b1c90f8aae854e5d264652975,1.0,1.0,7.0,7.0,2.614554,1.0,0.5,"{'count': 1, 'min': 355.9469073152518, 'p50': 355.9469073152518, 'p95': 355.9469073152518, 'p99': 355.9469073152518, 'max': 355.9469073152518, 'mean': 355.9469073152518}",2.6454935,2.7887796999999996,2.81696954,2.81696954,375.0750267264399,synthetic-clustered,0,0.0,{},{},0,0.0,0.5625,14.0,18.0,5,40.25,5.0,0.0,0.0,1.0,1.75,2.25,2.0,1.0,20.25,0.0,group_pruning_beta0,pruned,"{'count': 1, 'min': 395.770519192545, 'p50': 395.770519192545, 'p95': 395.770519192545, 'p99': 395.770519192545, 'max': 395.770519192545, 'mean': 395.770519192545}",2.3000905,2.4781828999999997,2.50732138,2.50732138,428.7090824644963,1.0,"{'count': 8, 'min': 38.42637521334928, 'p50': 44.96463476936279, 'p95': 48.52567587665797, 'p99': 49.58232845201284, 'max': 49.84649159585156, 'mean': 44.34475206156701}",2.6788075,"{'count': 8, 'min': 0.0, 'p50': 0.0, 'p95': 0.0, 'p99': 0.0, 'max': 0.0, 'mean': 0.0}",0.0,fewer_than_1000_unique_test_queries,"{'paired_queries': 8, 'median': 0.6380104589421108, 'bootstrap_95pct_lower': 0.6081367407620599, 'bootstrap_95pct_upper': 0.6514535039144549, 'bootstrap_resamples': 2000, 'seed': 6822738059385935285, 'ratio_definition': 'delta_flat_E2E_query_median / method_E2E_query_median'}",True,8,1,"{'count': 8, 'min': 0.0, 'p50': 0.0, 'p95': 0.0, 'p99': 0.0, 'max': 0.0, 'mean': 0.0}",0.0,0.0,True,offline-smoke-20260905T062705.177285Z-43d3397eca,aa18c94a51998944a2d6ac6eb04be025ba4209c5911044bada3e93f4055b815d,"{'count': 8, 'min': 2.917486375108957, 'p50': 3.112244821529495, 'p95': 3.413959324765648, 'p99': 3.463295852629357, 'max': 3.475629984595284, 'mean': 3.135420435288103}",0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",8
0,"{'count': 8, 'min': 0.0, 'p50': 0.0, 'p95': 0.0, 'p99': 0.0, 'max': 0.0, 'mean': 0.0}",0.0,59437.875,,137819.375,,,,96715.75,,12022.75,146870.25,367435.25,1159081.5,219353.625,10918.5,0,2818597448088286a32b9b95b54ca7490acc072b1c90f8aae854e5d264652975,1.0,1.0,7.0,7.0,2.729756,1.0,0.5,"{'count': 1, 'min': 344.65306102754516, 'p50': 344.65306102754516, 'p95': 344.65306102754516, 'p99': 344.65306102754516, 'max': 344.65306102754516, 'mean': 344.65306102754516}",2.7435535,2.84138375,2.84665195,2.84665195,364.25480206211927,synthetic-clustered,0,0.0,{},{},0,0.0,0.5625,14.0,18.0,5,76.5,5.0,0.0,0.0,1.0,1.75,2.25,2.0,1.0,20.25,0.0,group_pruning_beta0_recompute_intervals_ablation,pruned_recompute,"{'count': 1, 'min': 384.09087897469243, 'p50': 384.09087897469243, 'p95': 384.09087897469243, 'p99': 384.09087897469243, 'max': 384.09087897469243, 'mean': 384.09087897469243}",2.3894665,2.52977055,2.5340901099999997,2.5340901099999997,414.6311946224407,1.0,"{'count': 8, 'min': 38.42637521334928, 'p50': 44.96463476936279, 'p95': 48.52567587665797, 'p99': 49.58232845201284, 'max': 49.84649159585156, 'mean': 44.34475206156701}",2.750337,"{'count': 8, 'min': 0.0, 'p50': 0.0, 'p95': 0.0, 'p99': 0.0, 'max': 0.0, 'mean': 0.0}",0.0,fewer_than_1000_unique_test_queries,"{'paired_queries': 8, 'median': 0.618056501291478, 'bootstrap_95pct_lower': 0.5939266544480393, 'bootstrap_95pct_upper': 0.6333599920395173, 'bootstrap_resamples': 2000, 'seed': 7854057920311861, 'ratio_definition': 'delta_flat_E2E_query_median / method_E2E_query_median'}",True,8,1,"{'count': 8, 'min': 0.0, 'p50': 0.0, 'p95': 0.0, 'p99': 0.0, 'max': 0.0, 'mean': 0.0}",0.0,0.0,True,offline-smoke-20260905T062705.177285Z-43d3397eca,aa18c94a51998944a2d6ac6eb04be025ba4209c5911044bada3e93f4055b815d,"{'count': 8, 'min': 2.917486375108957, 'p50': 3.112244821529495, 'p95': 3.413959324765648, 'p99': 3.463295852629357, 'max': 3.475629984595284, 'mean': 3.135420435288103}",0,"{'count': 0, 'min': None, 'p50': None, 'p95': None, 'p99': None, 'max': None, 'mean': None}",8
